T_min,Q_m3s
0,0
2.671630243,0.013195981
8.830284717,0.005549533
11.63615818,0.021370842
14.85254406,0.031965405
17.79549409,0.063514774
20.67137632,0.194642513
23.8209813,0.325779816
26.90416404,0.603665322
29.85163308,0.965403528
32.93721879,1.418865638
35.8870908,1.956180449
39.18080192,2.616672891
42.19924808,3.164472278
45.76721993,3.86428248
48.9233165,4.469738667
51.52816585,4.797397817
54.67597758,4.797507803
57.68689206,4.794992461
60.35565309,4.792465164
63.43503412,4.79257276
66.58288171,4.795303292
69.73062171,4.790172186
72.67317723,4.792895546
75.4788355,4.792993577
78.35306793,4.803576185
81.77453068,4.798454643
84.51175827,4.798550283
87.86504139,4.811770174
