T_min,Q_m3s
0,0
2.671630243,0.013195981
8.830284717,0.005549533
11.63615818,0.021370842
14.85265165,0.039827044
17.79588861,0.092340784
20.67137632,0.194642513
23.547402,0.336252437
26.90416404,0.603665322
28.75437495,0.792409215
29.85163308,0.965403528
31.7707768,1.190837461
33.00564948,1.418868029
34.78854152,1.688846467
36.09238287,1.956187622
37.94445876,2.281199923
39.45452467,2.616682455
40.96365809,2.884030783
42.19924808,3.164472278
43.70992369,3.544504097
45.76721993,3.86428248
47.41407549,4.194528701
49.33382891,4.464511921
51.66301878,4.650652004
54.6754396,4.758199608
57.6184255,4.792369524
60.35565309,4.792465164
63.43503412,4.79257276
66.58288171,4.795303292
69.73062171,4.790172186
72.67317723,4.792895546
75.4788355,4.792993577
78.35306793,4.803576185
81.77453068,4.798454643
84.51175827,4.798550283
87.86504139,4.811770174
91.49154515,4.788311981
93.40688716,4.735968003
95.04793257,4.641685719
96.27868076,4.56835346
97.78264959,4.458343117
99.28604459,4.306404032
100.789583,4.164947132
102.4295525,3.992048459
104.0695937,3.824390878
105.2994094,3.682924415
106.6661582,3.546703826
107.8957587,3.389514085
109.3991537,3.237575
110.4921797,3.101344847
112.1322209,2.933687266
113.0887442,2.823657795
114.4555648,2.692678299
115.9588163,2.530257029
117.0522727,2.425473432
118.1458009,2.325930928
119.5128366,2.210674709
120.8798006,2.090177399
122.3836977,1.974925962
124.1610307,1.83871972
126.075225,1.702518259
127.8527731,1.582035294
129.220311,1.503466725
131.8188122,1.367289174
134.6909644,1.225880095
137.0161733,1.121139536
139.6151766,1.021649634
142.6246923,0.916932985
145.634495,0.833180707
149.8756914,0.723266004
153.4330113,0.644773947
158.0851505,0.561079053
162.6005718,0.487861562
167.2530697,0.430372132
172.4530848,0.378142922
177.6531717,0.331154805
179.295293,0.315488911
