ID Node1 Node2 Node3 Nabr1 Nabr2 Nabr3
1 63 62 65 239 104 240
2 17 18 20 23 14 19
3 9 36 37 55 548 50
4 89 84 81 143 153 156
5 13 22 25 41 20 6
6 20 22 13 5 14 10
7 117 118 186 333 328 200
8 87 91 92 160 152 379
9 123 79 96 201 180 212
10 22 20 21 27 71 6
11 60 104 59 137 241 16
12 16 11 17 15 21 0
13 6 103 14 179 0 214
14 17 20 13 6 21 2
15 17 11 14 0 17 12
16 23 104 60 11 102 181
17 17 14 12 179 19 15
18 19 10 18 23 22 25
19 18 17 12 17 22 2
20 25 16 13 21 5 31
21 16 17 13 14 20 12
22 19 18 12 19 177 18
23 18 10 20 27 2 18
24 33 21 10 27 26 113
25 10 19 31 45 26 18
26 31 33 10 24 25 46
27 20 10 21 24 10 23
28 67 40 68 115 39 61
29 25 28 8 0 31 40
30 30 45 26 52 36 73
31 16 25 8 29 0 20
32 102 96 78 201 135 136
33 186 188 184 327 328 334
34 122 131 126 230 168 220
35 24 31 32 45 48 46
36 27 30 26 30 0 42
37 28 29 27 42 0 40
38 41 30 29 42 65 44
39 21 67 68 28 71 113
40 29 28 25 29 67 37
41 25 22 42 68 67 5
42 27 29 30 38 36 37
43 42 34 41 66 65 64
44 30 41 43 66 73 38
45 32 31 19 25 133 35
46 31 24 33 49 26 35
47 32 60 58 105 48 102
48 32 58 24 57 35 47
49 24 36 33 51 46 55
50 245 36 9 3 442 441
51 36 39 33 62 49 441
52 47 26 45 30 78 0
53 53 49 43 70 79 90
54 35 52 46 75 74 93
55 37 36 24 49 57 3
56 38 245 208 123 209 372
57 58 37 24 55 48 58
58 58 63 37 104 57 96
59 207 66 205 326 366 108
60 73 34 71 118 125 122
61 67 38 40 119 28 114
62 33 39 67 114 113 51
63 51 54 75 92 148 82
64 44 34 42 43 68 118
65 42 41 29 38 67 43
66 43 41 34 43 85 44
67 25 42 29 65 40 41
68 42 22 44 116 64 41
69 80 48 55 94 144 86
70 49 45 43 73 53 76
71 68 22 21 10 39 116
72 44 68 69 115 87 116
73 43 45 30 30 44 70
74 35 46 47 0 78 54
75 52 3 46 0 54 84
76 45 49 35 83 78 70
77 53 51 55 138 90 82
78 45 35 47 74 52 76
79 53 43 54 85 82 53
80 57 50 52 84 93 89
81 49 55 57 94 83 90
82 51 53 54 79 63 77
83 57 35 49 76 81 93
84 3 52 50 80 0 75
85 54 43 34 66 122 79
86 77 48 80 69 134 0
87 44 69 71 121 118 72
88 70 56 71 125 121 124
89 57 48 50 0 80 94
90 49 53 55 77 81 53
91 70 72 74 397 124 120
92 73 75 54 63 122 126
93 57 52 35 54 83 80
94 48 57 55 81 69 89
95 23 32 78 133 101 102
96 58 137 63 240 58 105
97 104 79 121 212 207 181
98 135 110 136 284 106 235
99 61 201 189 202 231 338
100 59 135 137 237 241 184
101 78 79 23 181 95 201
102 23 60 32 47 95 16
103 59 105 134 234 184 137
104 65 37 63 58 1 110
105 137 58 60 47 241 96
106 136 62 135 237 98 247
107 157 158 139 242 290 274
108 305 66 207 59 370 109
109 305 64 66 250 108 549
110 37 65 305 549 548 104
111 159 141 142 251 283 282
112 72 76 221 172 397 127
113 33 67 21 39 24 62
114 38 67 39 62 372 61
115 69 68 40 28 117 72
116 22 68 44 72 68 71
117 70 69 40 115 120 121
118 44 71 34 60 64 87
119 38 72 40 120 61 127
120 70 40 72 119 91 117
121 70 71 69 87 117 88
122 34 73 54 92 85 60
123 245 207 208 369 56 442
124 56 70 74 91 129 88
125 71 56 73 126 60 88
126 75 73 56 125 169 92
127 38 76 72 112 119 209
128 84 77 82 134 143 147
129 74 307 56 169 124 553
130 95 106 86 186 151 131
131 95 177 106 198 130 197
132 85 94 306 150 551 149
133 19 78 32 95 45 135
134 77 80 82 142 128 86
135 102 78 19 133 177 32
136 103 96 102 32 178 219
137 105 59 104 11 182 103
138 51 83 55 144 77 145
139 81 82 83 142 140 143
140 85 81 83 139 145 551
141 218 219 99 393 391 390
142 83 82 80 134 144 139
143 84 82 81 139 4 128
144 55 83 80 142 69 138
145 83 51 85 148 140 138
146 92 93 88 162 154 160
147 77 84 7 156 0 128
148 51 75 85 163 145 63
149 85 98 94 164 132 163
150 214 306 94 132 158 382
151 86 93 95 161 130 162
152 92 89 87 550 8 155
153 81 306 89 550 4 551
154 92 88 90 0 155 146
155 90 89 92 152 154 157
156 7 84 89 4 157 147
157 7 89 90 155 0 156
158 94 219 214 392 150 393
159 114 107 175 166 187 0
160 93 92 91 8 161 146
161 95 93 91 160 185 151
162 86 88 93 146 151 0
163 98 85 75 148 552 149
164 94 98 99 171 393 149
