ID X Y Elevation Lon Lat
1 0 0 1040 -96 23
2 0 1000 1060 -96 23.0092019616501
3 1620 1000 1060 -95.9844928727104 23.0092007454249
4 1620 0 1040 -95.9844944345218 22.9999987838557
5 1024 0 1010.25 -95.9901989511517 22.9999995140909
6 810 1000 1020 -95.9922464363036 23.0092016575938
7 1620 512 1050.2 -95.9844936349136 23.0047102273587
8 1108 1000 1034.5 -95.9893938906679 23.009201392714
9 959 522.1352 1017.4 -95.9908206053186 23.0048042810177
10 959 784.297 1022.7 -95.9908203629284 23.0072166712416
11 959 1000 1027 -95.9908201634837 23.0092015354425
12 884.5 892.1485 1021.05 -95.9915333918696 23.008209168813
13 1033.5 892.1485 1028.55 -95.9901071345457 23.0082090363741
14 884.5 1000 1023.25 -95.9915332998931 23.0092015990903
15 475.0479 883.269 1033.95 -95.9954527520376 23.0081277190498
16 1033.5 1000 1030.75 -95.9901070270752 23.0092014666504
17 959 920.3433 1025.4 -95.9908202371374 23.0084685490412
18 942.1584 852.3201 1023 -95.9909815104964 23.007842625245
19 860.7093 796.058 1017.9 -95.9917612008733 23.0073249773301
20 1005.422 831.8869 1025.85 -95.9903759611036 23.007654544816
21 1058.525 733.6506 1026.7 -95.989867752079 23.0067505360737
22 1104.919 822.2002 1030.65 -95.9894235723402 23.0075653118614
23 710.0308 722.5496 1019 -95.9932035614954 23.006648671513
24 893.4665 653.2161 1016.85 -95.9914477685883 23.0060105350822
25 1121.765 910.8348 1033.2 -95.9892622243865 23.0083808964769
26 1364 1000 1047.25 -95.9869433816804 23.0092010994408
27 1236 1000 1040.75 -95.9881686361722 23.0092012536702
28 1172 1000 1037.5 -95.9887812634196 23.0092013250903
29 1204 923.2379 1037.75 -95.9884750389059 23.00849493907
30 1300 928.2692 1042.6 -95.9875560988348 23.0085411248271
31 902.7156 730.5141 1018.85 -95.9913591692391 23.0067218159616
32 790.3816 704.7531 1014.6 -95.9924344545217 23.0064848541256
